"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"22","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","15218823","Collected Unearned Revenue Roll"
"23","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","15150123","Billed Revenue"
"24","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","14635658","Billed Revenue"
"25","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","13907955","Collected Revenue"
"26","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","13744920","Billed Revenue"
"27","Department of Homeless Services","State Grants-Categorical","SAFETY-NET","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","12854590","Billed Revenue"
"28","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","12854590","Billed Revenue"
"29","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","12854590","Collected Revenue"
"30","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","12280585","Billed Revenue"
"31","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","12008228","Billed Revenue"
"32","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","11356753","Collected Unearned Revenue Roll"
"33","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","10615646","Collected Revenue"
"34","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","10615646","Billed Revenue"
"35","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","10380809","Unbilled Revenue"
"36","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","10248767","Billed Revenue"
"37","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","10154699","Billed Revenue"
"38","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","10139323","Collected Unearned Revenue Roll"
"39","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","9890000","Collected Unearned Revenue Roll"
"40","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","9763767.28","Collected Unearned Revenue Roll"
"41","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","9466236","Collected Unearned Revenue Roll"
"42","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","9398507","Billed Revenue"
"43","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","9398507","Collected Revenue"
"44","Department of Homeless Services","State Grants-Categorical","SAFETY-NET","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","9347838","Billed Revenue"
"45","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","9347838","Billed Revenue"
"46","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","8887748","Collected Unearned Revenue Roll"
"47","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","8881570","Collected Unearned Revenue Roll"
"48","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","8736946","Collected Revenue"
"49","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","8344129","Billed Revenue"
"50","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","8291261","Collected Unearned Revenue Roll"
"51","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","8133065","Collected Revenue"
"52","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","8133065","Billed Revenue"
"53","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","8133065","Billed Revenue"
"54","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","8133065","Collected Revenue"
"55","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","8115241","Billed Revenue"
"56","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","7814990","Billed Revenue"
"57","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","7814990","Collected Revenue"
"58","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","7814990","Collected Revenue"
"59","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","7814990","Billed Revenue"
"60","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","7636932","Billed Revenue"
"61","Department of Homeless Services","Federal Grants-Categorical","EMERGENCY SHELTER GRANTS PROGRAM","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","7548476.43","Collected Unearned Revenue Roll"
"62","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","7369042","Unbilled Revenue"
"63","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","7326044.28","Collected Unearned Revenue Roll"
"64","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","7317829","Billed Revenue"
"65","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","7275273","Collected Revenue"
"66","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","7275273","Billed Revenue"
"67","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","7177038","Collected Revenue"
"68","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","7177038","Billed Revenue"
"69","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","7138537","Collected Unearned Revenue Roll"
"70","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2012","","","7029136","Collected Unearned Revenue Roll"
"71","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","7014537","Collected Revenue"
"72","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","7014537","Billed Revenue"
"73","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","7004489","Collected Revenue"
"74","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","6929404.57","Billed Revenue"
"75","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","6929404.57","Collected Unearned Revenue Roll"
"76","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","6929404.57","Collected Revenue"
"77","Department of Homeless Services","State Grants-Categorical","SAFETY-NET","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","6721483","Billed Revenue"
"78","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","6311454","Collected Unearned Revenue Roll"
"79","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2014","0","0","6196861","Collected Unearned Revenue Roll"
"80","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","5890652","Billed Revenue"
"81","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5890652","Collected Revenue"
"82","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","5890652","Billed Revenue"
"83","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5890652","Billed Revenue"
"84","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","5890652","Collected Unearned Revenue Roll"
"85","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5890652","Collected Revenue"
"86","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5846332","Billed Revenue"
"87","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5846332","Collected Revenue"
"88","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5846332","Billed Revenue"
"89","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5817956","Collected Unearned Revenue Roll"
"90","Department of Homeless Services","Federal Grants-Categorical","TANF--EMERGENCY ASSISTANCE","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5523498","Unbilled Revenue"
"91","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5373544","Collected Unearned Revenue Roll"
"92","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","5363123","Billed Revenue"
"93","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","5363123","Collected Revenue"
"94","Department of Homeless Services","State Grants-Categorical","SAFETY-NET","General Fund","STATE","SOCIAL SERVICES","2011","2013","","","5357664","Collected Revenue"
"95","Department of Homeless Services","State Grants-Categorical","SAFETY-NET","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","5357664","Billed Revenue"
"96","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","5330789.64","Collected Revenue"
"97","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","5330789.64","Billed Revenue"
"98","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","5209449","Collected Unearned Revenue Roll"
"99","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5209449","Collected Revenue"
"100","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","5209449","Collected Unearned Revenue Roll"
"101","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","5209449","Billed Revenue"
"102","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5209449","Collected Revenue"
"103","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","5209449","Billed Revenue"
"104","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","5209449","Billed Revenue"
"105","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5019336","Collected Unearned Revenue Roll"
"106","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5003304","Collected Unearned Revenue Roll"
"107","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","4923354","Collected Unearned Revenue Roll"
"108","Department of Homeless Services","Federal Grants-Categorical","TANF - ADMINISTRATIVE EXPENSES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","4816105","Unbilled Revenue"
"109","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","4534477","Billed Revenue"
"110","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","4534477","Collected Revenue"
"111","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","4362615","Collected Unearned Revenue Roll"
"112","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","4271107","Collected Revenue"
"113","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","4271107","Billed Revenue"
"114","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","4172972","Collected Revenue"
"115","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","4172972","Billed Revenue"
"116","Department of Homeless Services","State Grants-Categorical","SAFETY-NET","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","4167327","Billed Revenue"
"117","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","4084079","Collected Revenue"
"118","Department of Homeless Services","State Grants-Categorical","SAFETY-NET","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","4082861","Billed Revenue"
"119","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","4073683","Billed Revenue"
"120","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","4073683","Collected Revenue"
"121","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","4073683","Collected Revenue"
"122","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","4073683","Billed Revenue"
"123","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","3929583","Collected Unearned Revenue Roll"
"124","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","3910764","Collected Revenue"
"125","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","3910764","Collected Revenue"
"126","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","3910764","Billed Revenue"
"127","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","3910764","Billed Revenue"
"128","Department of Homeless Services","State Grants-Categorical","SAFETY-NET","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","3900150","Billed Revenue"
"129","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","3660889","Billed Revenue"
"130","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","3660889","Collected Revenue"
"131","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","3660889","Billed Revenue"
"132","Department of Homeless Services","State Grants-Categorical","TEMP ASSIST FOR NEEDY FAMILIES","General Fund","STATE","SOCIAL SERVICES","2011","2012","","","3660889","Collected Revenue"
"133","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2012","","","3572801.5","Collected Unearned Revenue Roll"
"134","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","3558844","Unbilled Revenue"
"135","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2011","","","3531097.68","Billed Revenue"
"136","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","3465247","Collected Revenue"
"137","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","3423841","Billed Revenue"
"138","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","3423841","Collected Revenue"
"139","Department of Homeless Services","Federal Grants-Categorical","ARRA-HOMELESS PREVENT & RAPID RE HOUSING","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2011","2012","","","3248093.87","Collected Revenue"
